week,season,team,win,rb,db,lb,dl,te,wr,p,ol,ls,qb,k,avg_snaps,out,age,win_perc,lag_win_perc
1,2013,Arizona Cardinals,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,36.249857012125375,5.0,27.17,0.625,0.3125
2,2013,Arizona Cardinals,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,36.249857012125375,5.0,27.17,0.625,0.3125
3,2013,Arizona Cardinals,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,33.824470220639576,6.0,27.17,0.625,0.3125
4,2013,Arizona Cardinals,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,41.375396426005835,10.0,27.17,0.625,0.3125
5,2013,Arizona Cardinals,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,43.32883895810686,9.0,27.17,0.625,0.3125
6,2013,Arizona Cardinals,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,36.30461260089731,9.0,27.17,0.625,0.3125
7,2013,Arizona Cardinals,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,33.29866021994493,9.0,27.17,0.625,0.3125
8,2013,Arizona Cardinals,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,33.42607734231176,10.0,27.17,0.625,0.3125
10,2013,Arizona Cardinals,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,37.02980947228869,8.0,27.17,0.625,0.3125
11,2013,Arizona Cardinals,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,33.18031288100935,9.0,27.17,0.625,0.3125
12,2013,Arizona Cardinals,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,33.43824938894586,9.0,27.17,0.625,0.3125
13,2013,Arizona Cardinals,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,34.89295076102011,9.0,27.17,0.625,0.3125
14,2013,Arizona Cardinals,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,36.62934650932572,8.0,27.17,0.625,0.3125
15,2013,Arizona Cardinals,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,40.448616482081135,10.0,27.17,0.625,0.3125
16,2013,Arizona Cardinals,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,39.156683261193216,11.0,27.17,0.625,0.3125
17,2013,Arizona Cardinals,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,32.229600085645025,12.0,27.17,0.625,0.3125
1,2014,Arizona Cardinals,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.46048267724055,5.0,26.44,0.6875,0.625
2,2014,Arizona Cardinals,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,47.10343116361934,8.0,26.44,0.6875,0.625
3,2014,Arizona Cardinals,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,44.24572935490996,9.0,26.44,0.6875,0.625
5,2014,Arizona Cardinals,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.17294097927163,7.0,26.44,0.6875,0.625
6,2014,Arizona Cardinals,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,36.40120068664359,11.0,26.44,0.6875,0.625
7,2014,Arizona Cardinals,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,39.44889380551261,10.0,26.44,0.6875,0.625
8,2014,Arizona Cardinals,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,40.28929069553578,8.0,26.44,0.6875,0.625
9,2014,Arizona Cardinals,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.11770218808162,8.0,26.44,0.6875,0.625
10,2014,Arizona Cardinals,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.11770218808162,8.0,26.44,0.6875,0.625
11,2014,Arizona Cardinals,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,45.722136223991065,8.0,26.44,0.6875,0.625
12,2014,Arizona Cardinals,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,45.591988001289735,10.0,26.44,0.6875,0.625
13,2014,Arizona Cardinals,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,42.12396567174899,11.0,26.44,0.6875,0.625
14,2014,Arizona Cardinals,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,45.8299236990277,11.0,26.44,0.6875,0.625
15,2014,Arizona Cardinals,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,45.8299236990277,11.0,26.44,0.6875,0.625
16,2014,Arizona Cardinals,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,36.88495845094475,11.0,26.44,0.6875,0.625
17,2014,Arizona Cardinals,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,39.73632586449523,12.0,26.44,0.6875,0.625
1,2015,Arizona Cardinals,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,33.95807322929171,4.0,26.63,0.8125,0.6875
2,2015,Arizona Cardinals,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.06137383767066,5.0,26.63,0.8125,0.6875
3,2015,Arizona Cardinals,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,30.115959679540367,6.0,26.63,0.8125,0.6875
4,2015,Arizona Cardinals,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.96772304401987,5.0,26.63,0.8125,0.6875
5,2015,Arizona Cardinals,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.591009737228227,4.0,26.63,0.8125,0.6875
6,2015,Arizona Cardinals,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30.17369127545198,7.0,26.63,0.8125,0.6875
7,2015,Arizona Cardinals,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.21721406091025,7.0,26.63,0.8125,0.6875
8,2015,Arizona Cardinals,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31.7702894596193,10.0,26.63,0.8125,0.6875
10,2015,Arizona Cardinals,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3011924769908,5.0,26.63,0.8125,0.6875
